Year of Death,Locality,Locality Name,Drug Class,Death Count,Death Rate
2015,51023,Botetourt,S Opioids No Methadone,0,0
2018,51081,Greensville,Any Opioids,*,*
2016,51163,Rockbridge,N SS Opioids,*,*
2015,51193,Westmoreland,N SS Opioids,0,0
2015,51195,Wise,All Drugs,13,32.72
2015,51083,Halifax,Methadone,0,0
2015,51117,Mecklenburg,N SS Opioids,*,*
2017,51183,Sussex,Heroin,*,*
2017,51105,Lee,Any Opioids,5,21.05
2018,51660,Harrisonburg,N SS Opioids,0,0
2017,51191,Washington,Rx N SS Methadone,5,9.19
2016,51141,Patrick,Heroin,0,0
2017,51131,Northampton,N SS Opioids,*,*
2016,51041,Chesterfield,Methadone,*,*
2017,51670,Hopewell,Methadone,0,0
2016,51760,Richmond City,All Drugs,68,30.47
2018,51043,Clarke,S Opioids No Methadone,0,0
2017,51007,Amelia,N SS Opioids,0,0
2016,51017,Bath,All Drugs,0,0
2016,51720,Norton,All Drugs,*,*
2016,51121,Montgomery,S Opioids No Methadone,*,*
2016,51069,Frederick,Methadone,*,*
2015,51105,Lee,N SS S Opioids,*,*
2015,51009,Amherst,All Drugs,0,0
2015,51021,Bland,All Drugs,*,*
2017,51015,Augusta,Rx N SS Methadone,6,7.98
2015,51113,Madison,Rx N SS Methadone,0,0
2017,51121,Montgomery,N SS S Opioids,10,10.15
2018,51137,Orange,All Drugs,12,32.75
2017,51683,Manassas City,Methadone,0,0
2015,51175,Southampton,All Drugs,*,*
2016,51177,Spotsylvania,All Drugs,30,22.73
2016,51678,Lexington,All Drugs,*,*
2018,51125,Nelson,N SS S Opioids,*,*
2018,51550,Chesapeake,Rx N SS Methadone,*,*
2017,51135,Nottoway,N SS Opioids,0,0
2015,51183,Sussex,N SS S Opioids,0,0
2015,51145,Powhatan,Methadone,0,0
2018,51760,Richmond City,Heroin,54,23.60
2017,51023,Botetourt,N SS S Opioids,*,*
2018,51650,Hampton,N SS S Opioids,13,9.68
2015,51590,Danville,S Opioids No Methadone,*,*
2015,51163,Rockbridge,N SS Opioids,*,*
2017,51595,Emporia,Heroin,0,0
2015,51790,Staunton,All Drugs,6,24.57
2016,51023,Botetourt,S Opioids No Methadone,0,0
2017,51125,Nelson,All Drugs,*,*
2015,51199,York,N SS Opioids,*,*
2017,51137,Orange,N SS S Opioids,*,*
2018,51195,Wise,Heroin,*,*
2016,51131,Northampton,Heroin,0,0
2017,51127,New Kent,N SS Opioids,0,0
2018,51089,Henry,S Opioids No Methadone,6,11.78
2018,51081,Greensville,N SS S Opioids,*,*
2017,51700,Newport News,N SS Opioids,6,3.34
2018,51045,Craig,Methadone,0,0
2017,51650,Hampton,Any Opioids,16,11.88
2016,51139,Page,N SS S Opioids,*,*
2018,51027,Buchanan,S Opioids No Methadone,*,*
2016,51057,Essex,Rx N SS Methadone,0,0
2015,51005,Alleghany,Rx N SS Methadone,0,0
2016,51081,Greensville,S Opioids No Methadone,0,0
2018,51650,Hampton,Any Opioids,18,13.40
2017,51045,Craig,Methadone,0,0
2018,51700,Newport News,N SS Opioids,*,*
2017,51027,Buchanan,S Opioids No Methadone,*,*
2017,51081,Greensville,N SS S Opioids,*,*
2015,51051,Dickenson,Heroin,0,0
2018,51790,Staunton,Heroin,0,0
2017,51660,Harrisonburg,All Drugs,8,14.76
2016,51135,Nottoway,S Opioids No Methadone,*,*
2018,51131,Northampton,All Drugs,*,*
2015,51155,Pulaski,Methadone,*,*
2018,51800,Suffolk,Any Opioids,7,7.68
2015,51550,Chesapeake,Any Opioids,36,15.29
2018,51157,Rappahannock,Methadone,0,0
2018,51141,Patrick,All Drugs,*,*
2017,51117,Mecklenburg,Heroin,*,*
2018,51051,Dickenson,All Drugs,*,*
2016,51199,York,N SS Opioids,0,0
2018,51600,Fairfax City,Any Opioids,*,*
2017,51193,Westmoreland,Heroin,5,28.12
2015,51131,Northampton,Heroin,0,0
2017,51031,Campbell,N SS Opioids,0,0
2017,51530,Buena Vista City,All Drugs,*,*
2018,51095,James City,N SS Opioids,*,*
2018,51085,Hanover,S Opioids No Methadone,16,14.92
2015,51167,Russell,All Drugs,5,17.93
2017,51095,James City,Rx N SS Methadone,*,*
2015,51595,Emporia,Rx N SS Methadone,0,0
2016,51011,Appomattox,Methadone,0,0
2015,51149,Prince George,N SS Opioids,*,*
2018,51185,Tazewell,S Opioids No Methadone,*,*
2015,51017,Bath,Heroin,0,0
2016,51101,King William,Methadone,0,0
2015,51690,Martinsville,Rx N SS Methadone,*,*
2015,51720,Norton,Heroin,0,0
2016,51021,Bland,Heroin,0,0
2017,51013,Arlington,All Drugs,19,8.09
2018,51061,Fauquier,N SS Opioids,*,*
2015,51109,Louisa,Rx N SS Methadone,*,*
2016,51009,Amherst,Heroin,*,*
2017,51775,Salem,N SS Opioids,*,*
2015,51520,Bristol,Rx N SS Methadone,*,*
2018,51735,Poquoson,Methadone,0,0
2017,51730,Petersburg,Methadone,0,0
2015,51087,Henrico,N SS Opioids,9,2.77
2016,51810,Virginia Beach,Rx N SS Methadone,24,5.30
2017,51107,Loudoun,N SS S Opioids,22,5.53
2018,51001,Accomack,Rx N SS Methadone,*,*
2018,51105,Lee,All Drugs,7,29.74
2018,51580,Covington,Heroin,0,0
2016,51023,Botetourt,Rx N SS Methadone,*,*
2016,51035,Carroll,All Drugs,0,0
2017,51033,Caroline,Rx N SS Methadone,*,*
2018,51009,Amherst,N SS S Opioids,0,0
2017,51003,Albemarle,N SS Opioids,*,*
2016,51027,Buchanan,N SS Opioids,*,*
2018,51005,Alleghany,Any Opioids,*,*
2018,51021,Bland,N SS S Opioids,0,0
2016,51790,Staunton,Heroin,0,0
2015,51071,Giles,Rx N SS Methadone,*,*
2016,51131,Northampton,All Drugs,*,*
2017,51099,King George,Any Opioids,10,37.97
2018,51135,Nottoway,S Opioids No Methadone,*,*
2016,51157,Rappahannock,Methadone,0,0
2017,51760,Richmond City,N SS Opioids,8,3.52
2016,51800,Suffolk,Any Opioids,6,6.72
2018,51169,Scott,N SS S Opioids,*,*
2015,51550,Chesapeake,N SS S Opioids,23,9.77
2018,51099,King George,S Opioids No Methadone,6,22.58
2015,51700,Newport News,Heroin,10,5.48
2018,51063,Floyd,N SS S Opioids,*,*
2018,51103,Lancaster,Methadone,0,0
2016,51073,Gloucester,Methadone,0,0
2018,51079,Greene,All Drugs,*,*
2017,51710,Norfolk,All Drugs,61,24.93
2018,51770,Roanoke City,Any Opioids,42,42.03
2017,51019,Bedford,N SS Opioids,*,*
2018,51003,Albemarle,S Opioids No Methadone,5,4.59
2016,51067,Franklin County,Any Opioids,11,19.62
2015,51165,Rockingham,Any Opioids,*,*
2018,51057,Essex,All Drugs,*,*
2015,51077,Grayson,N SS S Opioids,0,0
2018,51175,Southampton,S Opioids No Methadone,*,*
2018,51181,Surry,N SS Opioids,0,0
2018,51063,Floyd,Methadone,0,0
2018,51115,Mathews,Heroin,*,*
2018,51510,Alexandria,Rx N SS Methadone,*,*
2016,51071,Giles,S Opioids No Methadone,0,0
2017,51540,Charlottesville,Heroin,*,*
2017,51167,Russell,S Opioids No Methadone,0,0
2018,51169,Scott,Methadone,0,0
2018,51059,Fairfax,Any Opioids,68,5.91
2016,51770,Roanoke City,N SS Opioids,5,5.01
2016,51195,Wise,N SS S Opioids,10,25.49
2017,51540,Charlottesville,Methadone,0,0
2018,51590,Danville,N SS Opioids,0,0
2017,51017,Bath,Any Opioids,0,0
2017,51720,Norton,Any Opioids,0,0
2018,51005,Alleghany,N SS S Opioids,*,*
2015,51161,Roanoke County,Methadone,0,0
2017,51193,Westmoreland,Rx N SS Methadone,*,*
2015,51077,Grayson,Any Opioids,0,0
2015,51191,Washington,N SS Opioids,*,*
2017,51071,Giles,Heroin,0,0
2016,51167,Russell,Heroin,0,0
2016,51177,Spotsylvania,Any Opioids,29,21.97
2015,51131,Northampton,Rx N SS Methadone,0,0
2016,51678,Lexington,Any Opioids,*,*
2018,51165,Rockingham,S Opioids No Methadone,*,*
2017,51117,Mecklenburg,Rx N SS Methadone,*,*
2015,51175,Southampton,Any Opioids,*,*
2017,51620,Franklin City,All Drugs,*,*
2018,51069,Frederick,Any Opioids,15,16.98
2017,51119,Middlesex,Heroin,*,*
2017,51830,Williamsburg,Any Opioids,*,*
2015,51027,Buchanan,All Drugs,10,43.91
2016,51041,Chesterfield,N SS S Opioids,44,12.98
2017,51041,Chesterfield,S Opioids No Methadone,44,12.81
2015,51035,Carroll,N SS Opioids,*,*
2015,51005,Alleghany,Heroin,*,*
2018,51155,Pulaski,N SS Opioids,*,*
2016,51179,Stafford,Heroin,12,8.31
2018,51113,Madison,Heroin,*,*
2017,51047,Culpeper,N SS S Opioids,20,39.00
2015,51580,Covington,Any Opioids,*,*
2017,51163,Rockbridge,Rx N SS Methadone,0,0
2015,51770,Roanoke City,Any Opioids,21,21.02
2015,51079,Greene,All Drugs,*,*
2015,51003,Albemarle,S Opioids No Methadone,*,*
2015,51103,Lancaster,Methadone,0,0
2016,51051,Dickenson,Rx N SS Methadone,*,*
2016,51001,Accomack,Any Opioids,*,*
2016,51037,Charlotte,All Drugs,*,*
2018,51580,Covington,Methadone,0,0
2015,51155,Pulaski,N SS S Opioids,*,*
2018,51620,Franklin City,Rx N SS Methadone,0,0
2018,51147,Prince Edward,N SS Opioids,0,0
2015,51600,Fairfax City,Heroin,*,*
2015,51550,Chesapeake,All Drugs,44,18.69
2017,51820,Waynesboro,Methadone,0,0
2017,51660,Harrisonburg,Any Opioids,*,*
2018,51036,Charles City,Methadone,0,0
2018,51175,Southampton,Rx N SS Methadone,*,*
2018,51115,Mathews,N SS Opioids,0,0
2017,51179,Stafford,Any Opioids,16,10.91
2018,51131,Northampton,Any Opioids,*,*
2015,51710,Norfolk,N SS S Opioids,31,12.58
2016,51121,Montgomery,N SS Opioids,*,*
2015,51043,Clarke,Methadone,0,0
2018,51181,Surry,Heroin,0,0
2016,51640,Galax,All Drugs,0,0
2016,51043,Clarke,Heroin,*,*
2015,51133,Northumberland,All Drugs,*,*
2017,51800,Suffolk,N SS Opioids,*,*
2017,51049,Cumberland,N SS Opioids,*,*
2017,51097,King and Queen,N SS Opioids,0,0
2016,51115,Mathews,Rx N SS Methadone,*,*
2015,51007,Amelia,Any Opioids,*,*
2015,51135,Nottoway,Heroin,0,0
2017,51830,Williamsburg,N SS S Opioids,*,*
2016,51830,Williamsburg,S Opioids No Methadone,0,0
2018,51820,Waynesboro,N SS Opioids,*,*
2016,51041,Chesterfield,Any Opioids,63,18.57
2017,51510,Alexandria,All Drugs,15,9.36
2017,51036,Charles City,N SS Opioids,0,0
2015,51029,Buckingham,All Drugs,0,0
2018,51069,Frederick,N SS S Opioids,14,15.85
2016,51775,Salem,Methadone,0,0
2017,51191,Washington,Heroin,0,0
2015,51185,Tazewell,S Opioids No Methadone,*,*
2018,51595,Emporia,Rx N SS Methadone,*,*
2018,51167,Russell,All Drugs,*,*
2017,51197,Wythe,N SS S Opioids,*,*
2015,51085,Hanover,S Opioids No Methadone,5,4.84
2018,51149,Prince George,N SS Opioids,0,0
2015,51173,Smyth,All Drugs,5,15.89
2015,51830,Williamsburg,All Drugs,0,0
2015,51145,Powhatan,N SS S Opioids,*,*
2015,51510,Alexandria,N SS S Opioids,6,3.91
2015,51620,Franklin City,Any Opioids,*,*
2017,51029,Buckingham,N SS S Opioids,*,*
2015,51183,Sussex,Methadone,0,0
2017,51083,Halifax,Heroin,0,0
2016,51029,Buckingham,S Opioids No Methadone,0,0
2016,51187,Warren,Rx N SS Methadone,6,15.32
2015,51670,Hopewell,Heroin,*,*
2016,51091,Highland,All Drugs,0,0
2018,51125,Nelson,Methadone,0,0
2017,51199,York,Any Opioids,7,10.33
2018,51119,Middlesex,N SS Opioids,0,0
2016,51031,Campbell,Any Opioids,5,9.10
2015,51127,New Kent,Any Opioids,*,*
2016,51027,Buchanan,Heroin,0,0
2018,51101,King William,Any Opioids,*,*
2018,51197,Wythe,Methadone,0,0
2016,51061,Fauquier,N SS S Opioids,19,27.51
2016,51133,Northumberland,Heroin,0,0
2015,51113,Madison,N SS S Opioids,*,*
2017,51660,Harrisonburg,N SS S Opioids,*,*
2018,51131,Northampton,N SS S Opioids,*,*
2016,51133,Northumberland,Methadone,0,0
2016,51083,Halifax,S Opioids No Methadone,0,0
2016,51079,Greene,Any Opioids,0,0
2015,51001,Accomack,All Drugs,*,*
2017,51067,Franklin County,Rx N SS Methadone,*,*
2017,51015,Augusta,N SS S Opioids,11,14.64
2015,51105,Lee,Rx N SS Methadone,*,*
2016,51660,Harrisonburg,S Opioids No Methadone,0,0
2017,51183,Sussex,S Opioids No Methadone,*,*
2015,51089,Henry,All Drugs,6,11.56
2015,51187,Warren,Any Opioids,12,30.70
2016,51141,Patrick,S Opioids No Methadone,*,*
2016,51550,Chesapeake,Methadone,*,*
2016,51157,Rappahannock,N SS S Opioids,*,*
2016,51147,Prince Edward,Rx N SS Methadone,*,*
2017,51157,Rappahannock,S Opioids No Methadone,0,0
2018,51133,Northumberland,All Drugs,*,*
2016,51181,Surry,Methadone,0,0
2016,51063,Floyd,N SS Opioids,0,0
2017,51145,Powhatan,Rx N SS Methadone,0,0
2016,51169,Scott,N SS Opioids,*,*
2016,51620,Franklin City,N SS Opioids,0,0
2018,51053,Dinwiddie,N SS Opioids,0,0
2015,51133,Northumberland,Heroin,*,*
2018,51087,Henrico,N SS S Opioids,40,12.15
2016,51127,New Kent,Any Opioids,0,0
2015,51061,Fauquier,N SS S Opioids,7,10.18
2015,51027,Buchanan,Heroin,0,0
2015,51031,Campbell,Any Opioids,*,*
2016,51105,Lee,S Opioids No Methadone,*,*
2018,51035,Carroll,S Opioids No Methadone,*,*
2016,51830,Williamsburg,Rx N SS Methadone,0,0
2015,51083,Halifax,Rx N SS Methadone,*,*
2018,51037,Charlotte,Any Opioids,*,*
2017,51670,Hopewell,Rx N SS Methadone,*,*
2016,51570,Colonial Heights,N SS Opioids,*,*
2017,51820,Waynesboro,Heroin,0,0
2017,51085,Hanover,Rx N SS Methadone,*,*
2018,51730,Petersburg,S Opioids No Methadone,9,28.51
2017,51087,Henrico,Any Opioids,58,17.69
2015,51775,Salem,Any Opioids,*,*
2018,51590,Danville,Heroin,*,*
2018,51036,Charles City,Heroin,0,0
2016,51135,Nottoway,All Drugs,*,*
2015,51600,Fairfax City,Methadone,0,0
2018,51101,King William,N SS S Opioids,*,*
2017,51185,Tazewell,Rx N SS Methadone,*,*
2016,51075,Goochland,Rx N SS Methadone,*,*
2018,51195,Wise,N SS Opioids,*,*
2015,51045,Craig,Rx N SS Methadone,0,0
2015,51111,Lunenburg,All Drugs,*,*
2016,51073,Gloucester,N SS Opioids,*,*
2016,51019,Bedford,Rx N SS Methadone,*,*
2017,51127,New Kent,Heroin,*,*
2018,51103,Lancaster,N SS Opioids,0,0
2015,51199,York,Heroin,*,*
2016,51590,Danville,N SS S Opioids,*,*
2016,51740,Portsmouth,S Opioids No Methadone,17,17.85
2016,51049,Cumberland,All Drugs,*,*
2016,51105,Lee,N SS Opioids,*,*
2015,51069,Frederick,Any Opioids,17,20.43
2018,51027,Buchanan,All Drugs,9,42.41
2017,51740,Portsmouth,N SS S Opioids,16,16.92
2018,51035,Carroll,N SS Opioids,0,0
2016,51097,King and Queen,All Drugs,*,*
2017,51099,King George,Methadone,*,*
2017,51125,Nelson,S Opioids No Methadone,0,0
2018,51089,Henry,All Drugs,14,27.48
2017,51840,Winchester,Rx N SS Methadone,*,*
2016,51157,Rappahannock,Any Opioids,*,*
2016,51036,Charles City,All Drugs,*,*
2018,51187,Warren,Any Opioids,10,25.00
2016,51510,Alexandria,N SS Opioids,8,5.13
2015,51019,Bedford,Any Opioids,6,7.72
2018,51073,Gloucester,N SS S Opioids,7,18.73
2016,51045,Craig,Any Opioids,*,*
2018,51147,Prince Edward,Heroin,0,0
2016,51103,Lancaster,N SS S Opioids,*,*
2017,51103,Lancaster,S Opioids No Methadone,*,*
2017,51003,Albemarle,Methadone,0,0
2016,51033,Caroline,N SS Opioids,*,*
2017,51027,Buchanan,Rx N SS Methadone,*,*
2017,51520,Bristol,Methadone,0,0
2017,51089,Henry,N SS S Opioids,6,11.71
2017,51630,Fredericksburg,N SS S Opioids,*,*
2016,51111,Lunenburg,N SS Opioids,0,0
2018,51640,Galax,Any Opioids,0,0
2017,51109,Louisa,Methadone,*,*
2015,51161,Roanoke County,Heroin,5,5.30
2017,51610,Falls Church,Any Opioids,*,*
2018,51137,Orange,S Opioids No Methadone,9,24.56
2016,51630,Fredericksburg,S Opioids No Methadone,*,*
2015,51171,Shenandoah,S Opioids No Methadone,*,*
2015,51073,Gloucester,All Drugs,5,13.46
2016,51011,Appomattox,N SS Opioids,*,*
2017,51137,Orange,S Opioids No Methadone,*,*
2018,51610,Falls Church,Any Opioids,*,*
2018,51630,Fredericksburg,N SS S Opioids,9,30.88
2018,51089,Henry,N SS S Opioids,10,19.63
2018,51109,Louisa,Methadone,*,*
2015,51735,Poquoson,Rx N SS Methadone,0,0
2018,51520,Bristol,Methadone,0,0
2015,51149,Prince George,Methadone,0,0
2017,51640,Galax,Any Opioids,0,0
2017,51775,Salem,Heroin,*,*
2016,51009,Amherst,N SS Opioids,*,*
2016,51005,Alleghany,Methadone,0,0
2018,51540,Charlottesville,S Opioids No Methadone,*,*
2015,51017,Bath,N SS Opioids,0,0
2016,51139,Page,S Opioids No Methadone,0,0
2018,51027,Buchanan,N SS S Opioids,8,37.70
2015,51153,Prince William,N SS Opioids,12,2.66
2017,51143,Pittsylvania,N SS Opioids,0,0
2015,51720,Norton,N SS Opioids,*,*
2015,51087,Henrico,Heroin,30,9.23
2016,51021,Bland,N SS Opioids,0,0
2018,51061,Fauquier,Heroin,*,*
2015,51820,Waynesboro,N SS Opioids,*,*
2016,51790,Staunton,S Opioids No Methadone,*,*
2015,51069,Frederick,N SS S Opioids,10,12.02
2018,51135,Nottoway,Heroin,0,0
2018,51007,Amelia,Any Opioids,*,*
2017,51065,Fluvanna,Methadone,0,0
2016,51077,Grayson,Methadone,0,0
2018,51029,Buckingham,All Drugs,*,*
2017,51740,Portsmouth,Any Opioids,20,21.15
2016,51590,Danville,All Drugs,*,*
2017,51033,Caroline,S Opioids No Methadone,5,16.41
2015,51101,King William,All Drugs,*,*
2016,51153,Prince William,Rx N SS Methadone,19,4.17
2016,51750,Radford,N SS S Opioids,*,*
2017,51685,Manassas Park,Rx N SS Methadone,*,*
2018,51001,Accomack,S Opioids No Methadone,0,0
2018,51700,Newport News,Methadone,*,*
2018,51057,Essex,N SS Opioids,0,0
2017,51800,Suffolk,Methadone,0,0
2018,51135,Nottoway,Rx N SS Methadone,0,0
2015,51071,Giles,S Opioids No Methadone,*,*
2015,51071,Giles,Methadone,0,0
2017,51147,Prince Edward,Any Opioids,*,*
2016,51840,Winchester,N SS S Opioids,10,36.34
2017,51840,Winchester,S Opioids No Methadone,5,17.89
2016,51143,Pittsylvania,Heroin,*,*
2015,51061,Fauquier,All Drugs,12,17.45
2015,51683,Manassas City,N SS S Opioids,*,*
2018,51087,Henrico,All Drugs,57,17.30
2015,51685,Manassas Park,Heroin,0,0
2017,51800,Suffolk,S Opioids No Methadone,6,6.65
2017,51173,Smyth,Rx N SS Methadone,*,*
2016,51159,Richmond County,N SS Opioids,0,0
2018,51685,Manassas Park,All Drugs,0,0
2018,51630,Fredericksburg,Any Opioids,10,34.31
2015,51075,Goochland,S Opioids No Methadone,0,0
2018,51610,Falls Church,N SS S Opioids,*,*
2018,51133,Northumberland,Any Opioids,0,0
2015,51179,Stafford,N SS Opioids,*,*
2016,51077,Grayson,S Opioids No Methadone,0,0
2017,51065,Fluvanna,S Opioids No Methadone,*,*
2018,51820,Waynesboro,S Opioids No Methadone,0,0
2016,51830,Williamsburg,N SS Opioids,0,0
2016,51101,King William,Heroin,*,*
2016,51790,Staunton,Methadone,*,*
2016,51036,Charles City,N SS S Opioids,*,*
2017,51036,Charles City,S Opioids No Methadone,0,0
2017,51730,Petersburg,Heroin,6,18.89
2017,51117,Mecklenburg,All Drugs,5,16.29
2016,51071,Giles,Rx N SS Methadone,*,*
2015,51131,Northampton,All Drugs,0,0
2017,51017,Bath,Methadone,0,0
2016,51530,Buena Vista City,Methadone,0,0
2018,51163,Rockbridge,Methadone,0,0
2017,51720,Norton,Methadone,0,0
2016,51775,Salem,N SS Opioids,*,*
2017,51009,Amherst,Heroin,*,*
2016,51013,Arlington,All Drugs,22,9.56
2017,51810,Virginia Beach,Rx N SS Methadone,20,4.44
2018,51107,Loudoun,Heroin,5,1.23
2017,51101,King William,Methadone,*,*
2017,51021,Bland,Heroin,0,0
2016,51730,Petersburg,Methadone,0,0
2017,51073,Gloucester,N SS Opioids,*,*
2016,51127,New Kent,Heroin,0,0
2018,51540,Charlottesville,Any Opioids,*,*
2015,51027,Buchanan,Any Opioids,9,39.52
2017,51590,Danville,N SS S Opioids,*,*
2017,51019,Bedford,Rx N SS Methadone,*,*
2015,51031,Campbell,Heroin,0,0
2015,51125,Nelson,Any Opioids,0,0
2018,51165,Rockingham,All Drugs,*,*
2015,51025,Brunswick,N SS Opioids,*,*
2018,51183,Sussex,Any Opioids,*,*
2018,51105,Lee,Heroin,0,0
2016,51035,Carroll,Heroin,0,0
2017,51047,Culpeper,Rx N SS Methadone,*,*
2015,51720,Norton,Any Opioids,*,*
2015,51540,Charlottesville,Methadone,*,*
2016,51009,Amherst,Any Opioids,*,*
2015,51017,Bath,Any Opioids,0,0
2016,51021,Bland,Any Opioids,0,0
2018,51081,Greensville,Rx N SS Methadone,*,*
2016,51570,Colonial Heights,Any Opioids,5,28.13
2016,51085,Hanover,N SS S Opioids,6,5.75
2018,51119,Middlesex,N SS S Opioids,0,0
2016,51185,Tazewell,N SS S Opioids,*,*
2015,51740,Portsmouth,Heroin,*,*
2015,51095,James City,Methadone,*,*
2018,51127,New Kent,Rx N SS Methadone,0,0
2017,51775,Salem,S Opioids No Methadone,7,27.07
2018,51595,Emporia,Any Opioids,*,*
2015,51087,Henrico,S Opioids No Methadone,13,4.00
2016,51139,Page,Heroin,0,0
2015,51149,Prince George,N SS S Opioids,*,*
2018,51061,Fauquier,S Opioids No Methadone,14,19.80
2015,51003,Albemarle,All Drugs,5,4.73
2016,51169,Scott,All Drugs,*,*
2018,51630,Fredericksburg,Methadone,*,*
2016,51165,Rockingham,Heroin,0,0
2016,51063,Floyd,All Drugs,0,0
2015,51067,Franklin County,Heroin,*,*
2015,51047,Culpeper,N SS S Opioids,7,14.16
2017,51580,Covington,Any Opioids,5,90.40
2016,51025,Brunswick,Any Opioids,*,*
2017,51005,Alleghany,Heroin,*,*
2018,51015,Augusta,Heroin,*,*
2016,51143,Pittsylvania,N SS Opioids,0,0
2017,51005,Alleghany,Methadone,0,0
2016,51775,Salem,Heroin,*,*
2015,51685,Manassas Park,N SS Opioids,0,0
2017,51139,Page,S Opioids No Methadone,*,*
2018,51107,Loudoun,N SS Opioids,9,2.21
2018,51540,Charlottesville,N SS S Opioids,*,*
2017,51021,Bland,N SS Opioids,*,*
2015,51007,Amelia,All Drugs,*,*
2017,51009,Amherst,N SS Opioids,0,0
2018,51075,Goochland,Methadone,0,0
2017,51810,Virginia Beach,S Opioids No Methadone,33,7.33
2015,51690,Martinsville,N SS S Opioids,*,*
2016,51175,Southampton,Heroin,*,*
2018,51595,Emporia,N SS S Opioids,*,*
2017,51197,Wythe,Rx N SS Methadone,*,*
2015,51678,Lexington,Heroin,0,0
2015,51093,Isle of Wight,N SS Opioids,0,0
2017,51650,Hampton,Heroin,7,5.20
2016,51810,Virginia Beach,N SS S Opioids,63,13.92
2018,51770,Roanoke City,All Drugs,48,48.04
2015,51177,Spotsylvania,Heroin,9,6.90
2018,51031,Campbell,S Opioids No Methadone,5,9.10
2015,51165,Rockingham,All Drugs,*,*
2016,51003,Albemarle,Heroin,0,0
2017,51187,Warren,S Opioids No Methadone,10,25.28
2016,51067,Franklin County,All Drugs,14,24.97
2015,51183,Sussex,Any Opioids,0,0
2015,51105,Lee,Heroin,0,0
2018,51125,Nelson,Any Opioids,*,*
2018,51025,Brunswick,N SS Opioids,0,0
2015,51530,Buena Vista City,Any Opioids,0,0
2015,51081,Greensville,N SS Opioids,0,0
2016,51057,Essex,Any Opioids,*,*
2017,51650,Hampton,Rx N SS Methadone,*,*
2017,51013,Arlington,S Opioids No Methadone,10,4.26
2016,51013,Arlington,N SS S Opioids,16,6.96
2016,51099,King George,Heroin,*,*
2017,51197,Wythe,Heroin,0,0
2016,51003,Albemarle,Rx N SS Methadone,*,*
2018,51065,Fluvanna,All Drugs,8,29.87
2018,51013,Arlington,Any Opioids,8,3.37
2015,51051,Dickenson,S Opioids No Methadone,*,*
2015,51163,Rockbridge,N SS S Opioids,*,*
2017,51023,Botetourt,N SS Opioids,0,0
2015,51079,Greene,Heroin,*,*
2016,51760,Richmond City,Rx N SS Methadone,18,8.07
2016,51580,Covington,S Opioids No Methadone,0,0
2017,51025,Brunswick,S Opioids No Methadone,*,*
2017,51580,Covington,N SS S Opioids,5,90.40
2015,51187,Warren,Methadone,*,*
2016,51025,Brunswick,N SS S Opioids,*,*
2016,51183,Sussex,Rx N SS Methadone,0,0
2017,51141,Patrick,Rx N SS Methadone,0,0
2017,51191,Washington,All Drugs,11,20.23
2017,51181,Surry,N SS S Opioids,*,*
2016,51660,Harrisonburg,Any Opioids,*,*
2016,51820,Waynesboro,Methadone,0,0
2016,51179,Stafford,Any Opioids,24,16.62
2018,51113,Madison,Any Opioids,*,*
2018,51099,King George,All Drugs,10,37.63
2017,51121,Montgomery,N SS Opioids,*,*
2015,51063,Floyd,Heroin,0,0
2015,51115,Mathews,Methadone,0,0
2015,51139,Page,All Drugs,*,*
2017,51007,Amelia,S Opioids No Methadone,*,*
2018,51077,Grayson,Rx N SS Methadone,0,0
2015,51191,Washington,N SS S Opioids,6,10.99
2015,51580,Covington,All Drugs,*,*
2015,51169,Scott,Heroin,0,0
2018,51043,Clarke,N SS Opioids,*,*
2018,51033,Caroline,All Drugs,10,32.50
2017,51001,Accomack,All Drugs,*,*
2015,51660,Harrisonburg,N SS S Opioids,*,*
2018,51047,Culpeper,Heroin,*,*
2016,51670,Hopewell,S Opioids No Methadone,*,*
2017,51113,Madison,N SS S Opioids,*,*
2017,51105,Lee,Rx N SS Methadone,*,*
2016,51165,Rockingham,Rx N SS Methadone,0,0
2018,51117,Mecklenburg,N SS S Opioids,8,26.10
2018,51193,Westmoreland,N SS S Opioids,*,*
2015,51067,Franklin County,Rx N SS Methadone,*,*
2015,51015,Augusta,N SS S Opioids,*,*
2016,51065,Fluvanna,All Drugs,*,*
2017,51590,Danville,Methadone,0,0
2015,51530,Buena Vista City,N SS S Opioids,0,0
2018,51003,Albemarle,Rx N SS Methadone,*,*
2016,51013,Arlington,Any Opioids,18,7.82
2017,51077,Grayson,All Drugs,0,0
2016,51197,Wythe,All Drugs,9,31.02
2018,51081,Greensville,Heroin,0,0
2018,51071,Giles,N SS S Opioids,0,0
2018,51029,Buckingham,Methadone,0,0
2017,51550,Chesapeake,N SS Opioids,9,3.74
2015,51510,Alexandria,Methadone,*,*
2016,51167,Russell,N SS S Opioids,6,21.92
2018,51550,Chesapeake,N SS Opioids,*,*
2017,51029,Buckingham,Methadone,*,*
2017,51081,Greensville,Heroin,*,*
2017,51071,Giles,N SS S Opioids,5,29.70
2015,51670,Hopewell,S Opioids No Methadone,0,0
2017,51660,Harrisonburg,S Opioids No Methadone,*,*
2018,51131,Northampton,S Opioids No Methadone,0,0
2017,51133,Northumberland,Methadone,0,0
2016,51067,Franklin County,Rx N SS Methadone,7,12.48
2016,51015,Augusta,N SS S Opioids,*,*
2018,51710,Norfolk,Any Opioids,39,15.98
